Image Compression Statistics:
Name: image_90, Original Size: 8104 bytes, WebP Size: 7224 bytes, Compressed Size: 6404 bytes
Name: image_91, Original Size: 7524 bytes, WebP Size: 6776 bytes, Compressed Size: 6024 bytes
Name: image_92, Original Size: 7758 bytes, WebP Size: 7724 bytes, Compressed Size: 6762 bytes
Name: image_93, Original Size: 8157 bytes, WebP Size: 7268 bytes, Compressed Size: 6430 bytes
Name: image_94, Original Size: 1511 bytes, WebP Size: 1506 bytes, Compressed Size: 1338 bytes
Name: image_95, Original Size: 7888 bytes, WebP Size: 7080 bytes, Compressed Size: 6232 bytes
Name: image_96, Original Size: 7711 bytes, WebP Size: 7404 bytes, Compressed Size: 6508 bytes
Name: image_97, Original Size: 8226 bytes, WebP Size: 7238 bytes, Compressed Size: 6416 bytes
Name: image_98, Original Size: 1427 bytes, WebP Size: 1518 bytes, Compressed Size: 1308 bytes
Name: image_99, Original Size: 7856 bytes, WebP Size: 7004 bytes, Compressed Size: 6192 bytes
Name: image_100, Original Size: 7948 bytes, WebP Size: 6226 bytes, Compressed Size: 5418 bytes
Name: image_101, Original Size: 8086 bytes, WebP Size: 7028 bytes, Compressed Size: 6264 bytes
Name: image_102, Original Size: 7784 bytes, WebP Size: 7914 bytes, Compressed Size: 6970 bytes
Name: image_103, Original Size: 7616 bytes, WebP Size: 7250 bytes, Compressed Size: 6440 bytes
Name: image_104, Original Size: 1459 bytes, WebP Size: 1402 bytes, Compressed Size: 1240 bytes
Name: image_105, Original Size: 7638 bytes, WebP Size: 7864 bytes, Compressed Size: 6938 bytes
Name: image_106, Original Size: 7948 bytes, WebP Size: 6226 bytes, Compressed Size: 5418 bytes
Name: image_107, Original Size: 8104 bytes, WebP Size: 7224 bytes, Compressed Size: 6404 bytes
Name: image_108, Original Size: 7722 bytes, WebP Size: 7794 bytes, Compressed Size: 6974 bytes
Name: image_109, Original Size: 7700 bytes, WebP Size: 7502 bytes, Compressed Size: 6684 bytes
Name: image_110, Original Size: 1459 bytes, WebP Size: 1402 bytes, Compressed Size: 1240 bytes
Name: image_111, Original Size: 7239 bytes, WebP Size: 6792 bytes, Compressed Size: 5852 bytes
Name: image_112, Original Size: 7413 bytes, WebP Size: 7182 bytes, Compressed Size: 6236 bytes
Name: image_113, Original Size: 8104 bytes, WebP Size: 7224 bytes, Compressed Size: 6404 bytes
Name: image_114, Original Size: 7924 bytes, WebP Size: 7688 bytes, Compressed Size: 6792 bytes
Name: image_115, Original Size: 1459 bytes, WebP Size: 1402 bytes, Compressed Size: 1240 bytes
Name: image_116, Original Size: 7616 bytes, WebP Size: 7250 bytes, Compressed Size: 6440 bytes
Name: image_117, Original Size: 7437 bytes, WebP Size: 7052 bytes, Compressed Size: 6256 bytes
Name: image_118, Original Size: 8365 bytes, WebP Size: 7098 bytes, Compressed Size: 6258 bytes
Name: image_119, Original Size: 7776 bytes, WebP Size: 7548 bytes, Compressed Size: 6648 bytes
Name: image_120, Original Size: 1904 bytes, WebP Size: 3096 bytes, Compressed Size: 2722 bytes
Name: image_121, Original Size: 2161 bytes, WebP Size: 4208 bytes, Compressed Size: 3658 bytes
Name: image_122, Original Size: 4516 bytes, WebP Size: 4494 bytes, Compressed Size: 3982 bytes
Name: image_123, Original Size: 3829 bytes, WebP Size: 3254 bytes, Compressed Size: 2828 bytes
Name: image_124, Original Size: 3900 bytes, WebP Size: 3680 bytes, Compressed Size: 3184 bytes
Name: image_125, Original Size: 4441 bytes, WebP Size: 4244 bytes, Compressed Size: 3706 bytes
Name: image_126, Original Size: 4268 bytes, WebP Size: 4432 bytes, Compressed Size: 3896 bytes
Name: image_127, Original Size: 4516 bytes, WebP Size: 4494 bytes, Compressed Size: 3982 bytes
Name: image_128, Original Size: 4268 bytes, WebP Size: 4432 bytes, Compressed Size: 3896 bytes
Name: image_129, Original Size: 4574 bytes, WebP Size: 21830 bytes, Compressed Size: 19350 bytes
Name: imgSeq_0, Original Size: 897 bytes, WebP Size: 1220 bytes, Compressed Size: 1138 bytes
Name: imgSeq_1, Original Size: 993 bytes, WebP Size: 1430 bytes, Compressed Size: 1302 bytes
Name: imgSeq_2, Original Size: 956 bytes, WebP Size: 1330 bytes, Compressed Size: 1194 bytes
Name: imgSeq_3, Original Size: 811 bytes, WebP Size: 1078 bytes, Compressed Size: 994 bytes
Name: imgSeq_4, Original Size: 920 bytes, WebP Size: 1252 bytes, Compressed Size: 1144 bytes
Name: imgSeq_5, Original Size: 1005 bytes, WebP Size: 1440 bytes, Compressed Size: 1306 bytes
Name: imgSeq_6, Original Size: 996 bytes, WebP Size: 1410 bytes, Compressed Size: 1280 bytes
Name: imgSeq_7, Original Size: 979 bytes, WebP Size: 1310 bytes, Compressed Size: 1214 bytes
Name: imgSeq_8, Original Size: 1093 bytes, WebP Size: 1544 bytes, Compressed Size: 1400 bytes
Name: imgSeq_9, Original Size: 1068 bytes, WebP Size: 1510 bytes, Compressed Size: 1372 bytes
Name: imgSeq_10, Original Size: 916 bytes, WebP Size: 1306 bytes, Compressed Size: 1188 bytes
Name: imgSeq_11, Original Size: 1034 bytes, WebP Size: 1152 bytes, Compressed Size: 1080 bytes
Name: imgSeq_12, Original Size: 1103 bytes, WebP Size: 1572 bytes, Compressed Size: 1440 bytes
Name: imgSeq_13, Original Size: 935 bytes, WebP Size: 1276 bytes, Compressed Size: 1174 bytes
Name: imgSeq_14, Original Size: 1021 bytes, WebP Size: 1366 bytes, Compressed Size: 1272 bytes
Name: imgSeq_15, Original Size: 995 bytes, WebP Size: 1466 bytes, Compressed Size: 1334 bytes
Name: imgSeq_16, Original Size: 1031 bytes, WebP Size: 1478 bytes, Compressed Size: 1358 bytes
Name: imgSeq_17, Original Size: 966 bytes, WebP Size: 1322 bytes, Compressed Size: 1212 bytes
Name: imgSeq_18, Original Size: 1102 bytes, WebP Size: 1552 bytes, Compressed Size: 1428 bytes
Name: imgSeq_19, Original Size: 1088 bytes, WebP Size: 1252 bytes, Compressed Size: 1142 bytes
Name: imgSeq_20, Original Size: 948 bytes, WebP Size: 1344 bytes, Compressed Size: 1218 bytes
Name: imgSeq_21, Original Size: 1054 bytes, WebP Size: 1480 bytes, Compressed Size: 1358 bytes
Name: imgSeq_22, Original Size: 1013 bytes, WebP Size: 1438 bytes, Compressed Size: 1312 bytes
Name: imgSeq_23, Original Size: 924 bytes, WebP Size: 1268 bytes, Compressed Size: 1150 bytes
Name: imgSeq_24, Original Size: 967 bytes, WebP Size: 1398 bytes, Compressed Size: 1268 bytes
Name: imgSeq_25, Original Size: 1000 bytes, WebP Size: 1496 bytes, Compressed Size: 1368 bytes
Name: imgSeq_26, Original Size: 1045 bytes, WebP Size: 1464 bytes, Compressed Size: 1320 bytes
Name: imgSeq_27, Original Size: 956 bytes, WebP Size: 1338 bytes, Compressed Size: 1210 bytes
Name: imgSeq_28, Original Size: 1091 bytes, WebP Size: 1058 bytes, Compressed Size: 1048 bytes
Name: imgSeq_29, Original Size: 1138 bytes, WebP Size: 1612 bytes, Compressed Size: 1456 bytes
Name: imgSeq_30, Original Size: 890 bytes, WebP Size: 1242 bytes, Compressed Size: 1134 bytes
Name: imgSeq_62, Original Size: 1193 bytes, WebP Size: 1690 bytes, Compressed Size: 1512 bytes
Name: imgSeq_63, Original Size: 1499 bytes, WebP Size: 1984 bytes, Compressed Size: 1772 bytes
Name: imgSeq_64, Original Size: 1779 bytes, WebP Size: 2344 bytes, Compressed Size: 2094 bytes
Name: imgSeq_65, Original Size: 1913 bytes, WebP Size: 2500 bytes, Compressed Size: 2240 bytes
Name: imgSeq_66, Original Size: 1983 bytes, WebP Size: 2654 bytes, Compressed Size: 2398 bytes
Name: imgSeq_67, Original Size: 1898 bytes, WebP Size: 1994 bytes, Compressed Size: 1910 bytes
Name: imgSeq_68, Original Size: 2000 bytes, WebP Size: 2638 bytes, Compressed Size: 2368 bytes
Name: imgSeq_69, Original Size: 1893 bytes, WebP Size: 2556 bytes, Compressed Size: 2186 bytes
Name: imgSeq_70, Original Size: 1637 bytes, WebP Size: 2114 bytes, Compressed Size: 1928 bytes
Name: imgSeq_71, Original Size: 1334 bytes, WebP Size: 1812 bytes, Compressed Size: 1582 bytes
Name: imgSeq_82, Original Size: 24826 bytes, WebP Size: 32000 bytes, Compressed Size: 29034 bytes
Name: imgSeq_83, Original Size: 26547 bytes, WebP Size: 38026 bytes, Compressed Size: 32776 bytes
Name: imgSeq_84, Original Size: 25414 bytes, WebP Size: 35396 bytes, Compressed Size: 32026 bytes
Name: imgSeq_85, Original Size: 25540 bytes, WebP Size: 36332 bytes, Compressed Size: 32166 bytes
Name: imgSeq_86, Original Size: 26093 bytes, WebP Size: 36588 bytes, Compressed Size: 32322 bytes
Name: imgSeq_87, Original Size: 23508 bytes, WebP Size: 29674 bytes, Compressed Size: 26988 bytes
Name: imgSeq_88, Original Size: 24442 bytes, WebP Size: 31988 bytes, Compressed Size: 29158 bytes
Name: imgSeq_89, Original Size: 27185 bytes, WebP Size: 37000 bytes, Compressed Size: 32476 bytes
Name: imgSeq_90, Original Size: 24721 bytes, WebP Size: 33414 bytes, Compressed Size: 29728 bytes
Name: imgSeq_91, Original Size: 26422 bytes, WebP Size: 34820 bytes, Compressed Size: 31632 bytes
Name: imgSeq_92, Original Size: 25318 bytes, WebP Size: 32984 bytes, Compressed Size: 29946 bytes
Name: imgSeq_93, Original Size: 24996 bytes, WebP Size: 32864 bytes, Compressed Size: 29934 bytes
Name: imgSeq_94, Original Size: 24300 bytes, WebP Size: 30030 bytes, Compressed Size: 27444 bytes
Name: imgSeq_95, Original Size: 24972 bytes, WebP Size: 33226 bytes, Compressed Size: 29582 bytes
Name: imgSeq_96, Original Size: 23582 bytes, WebP Size: 30800 bytes, Compressed Size: 28102 bytes
Name: imgSeq_97, Original Size: 25763 bytes, WebP Size: 32098 bytes, Compressed Size: 29332 bytes
Name: imgSeq_114, Original Size: 1555 bytes, WebP Size: 2466 bytes, Compressed Size: 2194 bytes
Name: imgSeq_115, Original Size: 2528 bytes, WebP Size: 3612 bytes, Compressed Size: 3166 bytes
Name: imgSeq_116, Original Size: 3851 bytes, WebP Size: 5434 bytes, Compressed Size: 4818 bytes
Name: imgSeq_117, Original Size: 5024 bytes, WebP Size: 7402 bytes, Compressed Size: 6700 bytes
Name: imgSeq_118, Original Size: 3694 bytes, WebP Size: 5628 bytes, Compressed Size: 5056 bytes
Name: imgSeq_119, Original Size: 2710 bytes, WebP Size: 5190 bytes, Compressed Size: 4318 bytes
Name: imgSeq_120, Original Size: 1677 bytes, WebP Size: 3728 bytes, Compressed Size: 3246 bytes
Name: imgSeq_121, Original Size: 1451 bytes, WebP Size: 3558 bytes, Compressed Size: 3004 bytes
Name: imgSeq_122, Original Size: 1470 bytes, WebP Size: 3572 bytes, Compressed Size: 3058 bytes
Name: imgSeq_123, Original Size: 1481 bytes, WebP Size: 3706 bytes, Compressed Size: 3210 bytes
Name: imgSeq_124, Original Size: 1389 bytes, WebP Size: 3368 bytes, Compressed Size: 2848 bytes
Name: imgSeq_125, Original Size: 1311 bytes, WebP Size: 3138 bytes, Compressed Size: 2758 bytes
Name: imgSeq_126, Original Size: 1017 bytes, WebP Size: 2636 bytes, Compressed Size: 2306 bytes
Name: imgSeq_127, Original Size: 820 bytes, WebP Size: 2050 bytes, Compressed Size: 1802 bytes
Name: imgSeq_128, Original Size: 596 bytes, WebP Size: 1456 bytes, Compressed Size: 1266 bytes
Name: imgSeq_129, Original Size: 508 bytes, WebP Size: 1146 bytes, Compressed Size: 1000 bytes
Name: imgSeq_130, Original Size: 456 bytes, WebP Size: 1048 bytes, Compressed Size: 990 bytes
Name: imgSeq_131, Original Size: 414 bytes, WebP Size: 984 bytes, Compressed Size: 866 bytes
Name: imgSeq_132, Original Size: 247 bytes, WebP Size: 482 bytes, Compressed Size: 446 bytes
Name: imgSeq_133, Original Size: 244 bytes, WebP Size: 488 bytes, Compressed Size: 462 bytes
